itemId,itemName,itemLvl,quality,qualityName,classId,classIdName,subClassId,inventorySlot,inventorySlotName,crmRarity,crmSlot,slotType
2163,Shadowblade,53,4,Epic,2,Weapons,15,13,One-Hand,257260002,257260001,Dagger
2164,Gut Ripper,45,4,Epic,2,Weapons,15,13,One-Hand,257260002,257260001,Dagger
2231,Inferno Robe,40,2,Uncommon,4,Armor,1,5,Chest,257260000,257260002,Cloth
2243,Hand of Edward the Odd,62,4,Epic,2,Weapons,4,13,One-Hand,257260002,257260001,Mace
2244,Krol Blade,56,4,Epic,2,Weapons,7,21,Main Hand,257260002,257260001,Sword
2245,Helm of Narv,59,4,Epic,4,Armor,3,1,Head,257260002,257260002,Mail
2246,Myrmidon's Signet,58,4,Epic,4,Armor,-2,11,Finger,257260002,257260004,
2291,Kang the Decapitator,49,4,Epic,2,Weapons,1,17,Two-Hand,257260002,257260000,Axe
2325,Black Dye,40,1,Common,7,Trade Goods,0,0,,257260004,257260004,
2411,Black Stallion Bridle,40,1,Common,15,Miscellaneous,5,0,,257260004,257260004,
2412,Deprecated Nightmare Bridle,40,1,Common,15,Miscellaneous,0,0,,257260004,257260004,
2413,Palomino,40,1,Common,15,Miscellaneous,5,0,,257260004,257260004,
2414,Pinto Bridle,40,3,Rare,15,Miscellaneous,5,0,,257260001,257260004,
2415,White Stallion,40,1,Common,15,Miscellaneous,5,0,,257260004,257260004,
2423,Brigandine Vest,50,1,Common,4,Armor,3,5,Chest,257260004,257260002,Mail
2424,Brigandine Belt,50,1,Common,4,Armor,3,6,Waist,257260004,257260003,Mail
2425,Brigandine Leggings,50,1,Common,4,Armor,3,7,Legs,257260004,257260002,Mail
2426,Brigandine Boots,50,1,Common,4,Armor,3,8,Feet,257260004,257260003,Mail
2427,Brigandine Bracers,50,1,Common,4,Armor,3,9,Wrist,257260004,257260004,Mail
2428,Brigandine Gloves,50,1,Common,4,Armor,3,10,Hands,257260004,257260003,Mail
2435,Embroidered Armor,50,1,Common,4,Armor,1,5,Chest,257260004,257260002,Cloth
2437,Embroidered Pants,50,1,Common,4,Armor,1,7,Legs,257260004,257260002,Cloth
2438,Embroidered Boots,50,1,Common,4,Armor,1,8,Feet,257260004,257260003,Cloth
2440,Embroidered Gloves,50,1,Common,4,Armor,1,10,Hands,257260004,257260003,Cloth
2444,Ornate Buckler,50,1,Common,4,Armor,6,14,Shield,257260004,257260005,Shield
2451,Crested Heater Shield,50,1,Common,4,Armor,6,14,Shield,257260004,257260005,Shield
2470,Reinforced Leather Vest,50,1,Common,4,Armor,2,5,Chest,257260004,257260002,Leather
2471,Reinforced Leather Belt,50,1,Common,4,Armor,2,6,Waist,257260004,257260003,Leather
2472,Reinforced Leather Pants,50,1,Common,4,Armor,2,7,Legs,257260004,257260002,Leather
2473,Reinforced Leather Boots,50,1,Common,4,Armor,2,8,Feet,257260004,257260003,Leather
2474,Reinforced Leather Bracers,50,1,Common,4,Armor,2,9,Wrist,257260004,257260004,Leather
2475,Reinforced Leather Gloves,50,1,Common,4,Armor,2,10,Hands,257260004,257260003,Leather
2478,Deprecated Replenishing Font,40,1,Common,4,Armor,-4,12,Trinket,257260004,257260003,
2528,Falchion,46,1,Common,2,Weapons,7,21,Main Hand,257260004,257260001,Sword
2529,Zweihander,46,1,Common,2,Weapons,8,17,Two-Hand,257260004,257260000,Sword
2530,Francisca,46,1,Common,2,Weapons,0,21,Main Hand,257260004,257260001,Axe
2531,Great Axe,44,1,Common,2,Weapons,1,17,Two-Hand,257260004,257260000,Axe
2532,Morning Star,46,1,Common,2,Weapons,4,21,Main Hand,257260004,257260001,Mace
2533,War Maul,45,1,Common,2,Weapons,5,17,Two-Hand,257260004,257260000,Mace
2534,Rondel,44,1,Common,2,Weapons,15,13,One-Hand,257260004,257260001,Dagger
2535,War Staff,45,1,Common,2,Weapons,10,17,Two-Hand,257260004,257260000,Staff
2564,Elven Spirit Claws,50,3,Rare,4,Armor,2,10,Hands,257260001,257260003,Leather
2618,Silver Dress Robes,50,1,Common,4,Armor,1,5,Chest,257260004,257260002,Cloth
2623,Holy Diadem,41,2,Uncommon,4,Armor,1,1,Head,257260000,257260002,Cloth
2624,Thinking Cap,42,2,Uncommon,4,Armor,1,1,Head,257260000,257260002,Cloth
2662,Ribbly's Quiver,55,2,Uncommon,11,Quivers,2,18,Bag,257260000,257260004,
2663,Ribbly's Bandolier,55,2,Uncommon,11,Quivers,3,18,Bag,257260000,257260004,
2801,Blade of Hanna,64,4,Epic,2,Weapons,8,17,Two-Hand,257260002,257260000,Sword
2802,Blazing Emblem,43,3,Rare,4,Armor,-4,12,Trinket,257260001,257260003,
2804,Deprecated Freezing Talisman,40,1,Common,4,Armor,-4,12,Trinket,257260004,257260003,
2815,Curve-bladed Ripper,45,3,Rare,2,Weapons,0,21,Main Hand,257260001,257260001,Axe
2820,Nifty Stopwatch,50,2,Uncommon,4,Armor,-4,12,Trinket,257260000,257260003,
2824,Hurricane,53,4,Epic,2,Weapons,2,15,Ranged,257260002,257260006,Bow
2825,Bow of Searing Arrows,42,4,Epic,2,Weapons,2,15,Ranged,257260002,257260006,Bow
2915,Taran Icebreaker,52,4,Epic,2,Weapons,5,17,Two-Hand,257260002,257260000,Mace
2927,Creeping Torment,40,1,Common,0,Consumables,0,0,,257260004,257260004,
2932,Torment Vine,40,1,Common,7,Trade Goods,0,0,,257260004,257260004,
2955,First Mate Hat,40,2,Uncommon,4,Armor,1,1,Head,257260000,257260002,Cloth
3015,Deprecated Chatter's Rock,40,1,Common,4,Armor,-4,12,Trinket,257260004,257260003,
3075,Eye of Flame,55,4,Epic,4,Armor,1,1,Head,257260002,257260002,Cloth
3099,Tome of Ice Armor II,40,1,Common,9,Recipes,0,0,,257260004,257260004,
3101,Tome of Frost Nova III,40,1,Common,9,Recipes,0,0,,257260004,257260004,
3118,Codex of Greater Heal,40,1,Common,9,Recipes,0,0,,257260004,257260004,
3187,Sacrificial Kris,44,2,Uncommon,2,Weapons,15,13,One-Hand,257260000,257260001,Dagger
3208,Conk Hammer,48,2,Uncommon,2,Weapons,5,17,Two-Hand,257260000,257260000,Mace
3386,Elixir of Poison Resistance,55,1,Common,0,Consumables,0,0,,257260004,257260004,
3387,Limited Invulnerability Potion,50,1,Common,0,Consumables,0,0,,257260004,257260004,
3395,Recipe: Limited Invulnerability Potion,50,2,Uncommon,9,Recipes,6,0,,257260000,257260004,Limited Invulnerability Potion
3420,Black Rose,40,1,Common,4,Armor,-5,23,Held In Off-hand,257260004,257260004,
3423,Bouquet of White Roses,50,1,Common,4,Armor,-5,23,Held In Off-hand,257260004,257260004,
3424,Bouquet of Black Roses,60,1,Common,4,Armor,-5,23,Held In Off-hand,257260004,257260004,
3427,Stylish Black Shirt,40,1,Common,4,Armor,-8,4,Shirt,257260004,257260004,
3430,Sniper Rifle,44,2,Uncommon,2,Weapons,3,15,Ranged,257260000,257260006,Gun
3475,Cloak of Flames,65,4,Epic,4,Armor,-6,16,Back,257260002,257260004,
3587,Embroidered Belt,50,1,Common,4,Armor,1,6,Waist,257260004,257260003,Cloth
3588,Embroidered Bracers,50,1,Common,4,Armor,1,9,Wrist,257260004,257260004,Cloth
3763,Lunar Buckler,40,2,Uncommon,4,Armor,6,14,Shield,257260000,257260005,Shield
3764,Mantis Boots,40,2,Uncommon,4,Armor,1,8,Feet,257260000,257260003,Cloth
3765,Brigand's Pauldrons,40,2,Uncommon,4,Armor,3,3,Shoulder,257260000,257260003,Mail
3773,Deprecated Murkwood Sap,45,1,Common,0,Consumables,0,0,,257260004,257260004,
3776,Crippling Poison II,50,1,Common,0,Consumables,-3,0,,257260004,257260004,
3788,Soul Crystal Relic,40,1,Common,4,Armor,-4,12,Trinket,257260004,257260003,
3791,Relic of the Light,40,1,Common,4,Armor,-4,12,Trinket,257260004,257260003,
3829,Frost Oil,40,1,Common,0,Consumables,-3,0,,257260004,257260004,
3845,Golden Scale Cuirass,40,2,Uncommon,4,Armor,3,5,Chest,257260000,257260002,Mail
3847,Golden Scale Boots,40,2,Uncommon,4,Armor,3,8,Feet,257260000,257260003,Mail
3854,Frost Tiger Blade,40,2,Uncommon,2,Weapons,8,17,Two-Hand,257260000,257260000,Sword
3856,Shadow Crescent Axe,40,2,Uncommon,2,Weapons,1,17,Two-Hand,257260000,257260000,Axe
3858,Mithril Ore,40,1,Common,7,Trade Goods,0,0,,257260004,257260004,
3860,Mithril Bar,40,1,Common,7,Trade Goods,0,0,,257260004,257260004,
3861,Blacksteel Bar,45,1,Common,7,Trade Goods,0,0,,257260004,257260004,
3864,Citrine,40,2,Uncommon,7,Trade Goods,0,0,,257260000,257260004,
3868,Plans: Frost Tiger Blade,40,2,Uncommon,9,Recipes,4,0,,257260000,257260004,Sword
3869,Plans: Shadow Crescent Axe,40,2,Uncommon,9,Recipes,4,0,,257260000,257260004,Axe
3875,Plans: Golden Scale Boots,40,3,Rare,9,Recipes,4,0,,257260001,257260004,Mail
3892,Embroidered Hat,50,1,Common,4,Armor,1,1,Head,257260004,257260002,Cloth
3893,Reinforced Leather Cap,50,1,Common,4,Armor,2,1,Head,257260004,257260002,Leather
3894,Brigandine Helm,50,1,Common,4,Armor,3,1,Head,257260004,257260002,Mail
3914,Journeyman's Backpack,45,1,Common,1,Containers,0,18,Bag,257260004,257260004,
3927,Fine Aged Cheddar,45,1,Common,0,Consumables,0,0,,257260004,257260004,
3928,Superior Healing Potion,45,1,Common,0,Consumables,0,0,,257260004,257260004,
3985,Monogrammed Sash,40,2,Uncommon,4,Armor,1,6,Waist,257260000,257260003,Cloth
4030,Holy Relic Water,45,1,Common,4,Armor,-4,12,Trinket,257260004,257260003,
4031,Hallowed Relic Charm,45,1,Common,4,Armor,-4,12,Trinket,257260004,257260003,
4032,Radiant Relic Hammer,50,1,Common,4,Armor,-4,12,Trinket,257260004,257260003,
4033,Dawn's Glow,50,1,Common,4,Armor,-4,12,Trinket,257260004,257260003,
4044,Aurora Pants,40,2,Uncommon,4,Armor,1,7,Legs,257260000,257260002,Cloth
4045,Mistscape Bracers,42,2,Uncommon,4,Armor,1,9,Wrist,257260000,257260004,Cloth
4046,Mistscape Pants,45,2,Uncommon,4,Armor,1,7,Legs,257260000,257260002,Cloth
4047,Mistscape Boots,43,2,Uncommon,4,Armor,1,8,Feet,257260000,257260003,Cloth
4058,Glyphed Breastplate,41,2,Uncommon,4,Armor,2,5,Chest,257260000,257260002,Leather
4060,Glyphed Leggings,40,2,Uncommon,4,Armor,2,7,Legs,257260000,257260002,Leather
4061,Imperial Leather Bracers,42,2,Uncommon,4,Armor,2,9,Wrist,257260000,257260004,Leather
4062,Imperial Leather Pants,45,2,Uncommon,4,Armor,2,7,Legs,257260000,257260002,Leather
4063,Imperial Leather Gloves,43,2,Uncommon,4,Armor,2,10,Hands,257260000,257260003,Leather
4068,Chief Brigadier Shield,40,2,Uncommon,4,Armor,6,14,Shield,257260000,257260005,Shield
4069,Blackforge Buckler,47,2,Uncommon,4,Armor,6,14,Shield,257260000,257260005,Shield
4070,Jouster's Crest,41,2,Uncommon,4,Armor,6,14,Shield,257260000,257260005,Shield
4079,Chief Brigadier Leggings,40,2,Uncommon,4,Armor,3,7,Legs,257260000,257260002,Mail
4080,Blackforge Cowl,45,2,Uncommon,4,Armor,3,1,Head,257260000,257260002,Mail
4082,Blackforge Breastplate,47,2,Uncommon,4,Armor,3,5,Chest,257260000,257260002,Mail
4083,Blackforge Gauntlets,44,2,Uncommon,4,Armor,3,10,Hands,257260000,257260003,Mail
4084,Blackforge Leggings,46,2,Uncommon,4,Armor,3,7,Legs,257260000,257260002,Mail
4087,Trueshot Bow,41,2,Uncommon,2,Weapons,2,15,Ranged,257260000,257260006,Bow
4088,Dreadblade,47,2,Uncommon,2,Weapons,15,13,One-Hand,257260000,257260001,Dagger
4089,Ricochet Blunderbuss,48,2,Uncommon,2,Weapons,3,15,Ranged,257260000,257260006,Gun
4090,Mug O' Hurt,46,3,Rare,2,Weapons,4,13,One-Hand,257260001,257260001,Mace
4091,Widowmaker,47,3,Rare,2,Weapons,15,13,One-Hand,257260001,257260001,Dagger
4095,Deprecate Snare Kit,40,1,Common,15,Miscellaneous,1,0,,257260004,257260004,
4098,Carefully Folded Note,45,1,Common,12,Quest,0,0,,257260004,257260004,
4108,Panther Hunter Leggings,40,2,Uncommon,4,Armor,2,7,Legs,257260000,257260002,Leather
4109,Excelsior Boots,41,2,Uncommon,4,Armor,2,8,Feet,257260000,257260003,Leather
4110,Master Hunter's Bow,45,2,Uncommon,2,Weapons,2,15,Ranged,257260000,257260006,Bow
4111,Master Hunter's Rifle,45,2,Uncommon,2,Weapons,3,15,Ranged,257260000,257260006,Gun
4112,Choker of the High Shaman,44,2,Uncommon,4,Armor,-3,2,Neck,257260000,257260004,
4113,Medicine Blanket,45,2,Uncommon,4,Armor,-6,16,Back,257260000,257260004,
4114,Darktide Cape,42,2,Uncommon,4,Armor,-6,16,Back,257260000,257260004,
4116,Olmann Sewar,41,2,Uncommon,2,Weapons,7,21,Main Hand,257260000,257260001,Sword
4117,Scorching Sash,44,2,Uncommon,4,Armor,1,6,Waist,257260000,257260003,Cloth
4118,Poobah's Nose Ring,50,2,Uncommon,4,Armor,3,9,Wrist,257260000,257260004,Mail
4119,Raptor Hunter Tunic,43,2,Uncommon,4,Armor,2,5,Chest,257260000,257260002,Leather
4120,Robe of Crystal Waters,40,2,Uncommon,4,Armor,1,5,Chest,257260000,257260002,Cloth
4124,Cap of Harmony,40,2,Uncommon,4,Armor,2,1,Head,257260000,257260002,Leather
4125,Tranquil Orb,43,2,Uncommon,4,Armor,-5,23,Held In Off-hand,257260000,257260004,
4127,Shrapnel Blaster,40,2,Uncommon,2,Weapons,3,15,Ranged,257260000,257260006,Gun
4128,Silver Spade,41,2,Uncommon,2,Weapons,5,17,Two-Hand,257260000,257260000,Mace
4129,Collection Plate,44,2,Uncommon,4,Armor,6,14,Shield,257260000,257260005,Shield
4130,Smotts' Compass,50,2,Uncommon,4,Armor,-4,12,Trinket,257260000,257260003,
4131,Belt of Corruption,44,2,Uncommon,4,Armor,2,6,Waist,257260000,257260003,Leather
4134,Nimboya's Mystical Staff,46,2,Uncommon,2,Weapons,10,17,Two-Hand,257260000,257260000,Staff
4136,Darkspear Boots,42,2,Uncommon,4,Armor,3,8,Feet,257260000,257260003,Mail
4137,Darkspear Shoes,42,2,Uncommon,4,Armor,1,8,Feet,257260000,257260003,Cloth
4138,Blackwater Tunic,45,2,Uncommon,4,Armor,3,5,Chest,257260000,257260002,Mail
4142,Tome of Polymorph: Pig,60,3,Rare,9,Recipes,0,0,,257260001,257260004,
4144,Tome of Polymorph: Cow,60,3,Rare,9,Recipes,0,0,,257260001,257260004,
4146,Tome of Polymorph: Sheep,40,1,Common,9,Recipes,0,0,,257260004,257260004,
4154,Tome of Slow II,40,1,Common,9,Recipes,0,0,,257260004,257260004,
4155,Tome of Water Elemental II,40,1,Common,9,Recipes,0,0,,257260004,257260004,
4158,Tome of Khadgar's Unlocking III,42,1,Common,9,Recipes,0,0,,257260004,257260004,
4167,Libram: Judgement,40,1,Common,9,Recipes,0,0,,257260004,257260004,
4185,Tablet of Group Astral Recall,40,1,Common,9,Recipes,0,0,,257260004,257260004,
4187,Tablet of Serpent Totem V,40,1,Common,9,Recipes,0,0,,257260004,257260004,
4188,Tablet of Invisibility Totem,40,1,Common,9,Recipes,0,0,,257260004,257260004,
4213,Grimoire of Doom,60,2,Uncommon,9,Recipes,0,0,,257260000,257260004,
4216,Grimoire of Holy Ward,40,1,Common,9,Recipes,0,0,,257260004,257260004,
4219,Grimoire of Burning Spirit IV,40,1,Common,9,Recipes,0,0,,257260004,257260004,
4221,Grimoire of Detect Invisibility,40,1,Common,9,Recipes,0,0,,257260004,257260004,
4227,Deprecated Book of Nullify Poison III,40,1,Common,9,Recipes,0,0,,257260004,257260004,
4229,Deprecated Book of Rejuvenation VI,40,1,Common,9,Recipes,0,0,,257260004,257260004,
4264,Barbaric Belt,40,2,Uncommon,4,Armor,2,6,Waist,257260000,257260003,Leather
4283,Codex of Sleep III,40,1,Common,9,Recipes,0,0,,257260004,257260004,
4286,Codex of Prayer of Healing II,40,1,Common,9,Recipes,0,0,,257260004,257260004,
4301,Pattern: Barbaric Belt,40,3,Rare,9,Recipes,1,0,,257260001,257260004,Leather
4304,Thick Leather,40,1,Common,7,Trade Goods,0,0,,257260004,257260004,
4327,Icy Cloak,40,3,Rare,4,Armor,-6,16,Back,257260001,257260004,
4329,Star Belt,40,2,Uncommon,4,Armor,1,6,Waist,257260000,257260003,Cloth
4336,Black Swashbuckler's Shirt,40,1,Common,4,Armor,-8,4,Shirt,257260004,257260004,
4338,Mageweave Cloth,40,1,Common,7,Trade Goods,0,0,,257260004,257260004,
4339,Bolt of Mageweave,45,1,Common,7,Trade Goods,0,0,,257260004,257260004,
4342,Purple Dye,50,1,Common,7,Trade Goods,0,0,,257260004,257260004,
4355,Pattern: Icy Cloak,40,1,Common,9,Recipes,2,0,,257260004,257260004,
4356,Pattern: Star Belt,40,2,Uncommon,9,Recipes,2,0,,257260000,257260004,Cloth
4394,Big Iron Bomb,43,1,Common,7,Trade Goods,2,0,,257260004,257260004,
4396,Mechanical Dragonling,40,1,Common,4,Armor,-4,12,Trinket,257260004,257260003,
4397,Gnomish Cloaking Device,40,1,Common,4,Armor,-4,12,Trinket,257260004,257260003,
4398,Large Seaforium Charge,40,1,Common,7,Trade Goods,2,0,,257260004,257260004,
4417,Schematic: Large Seaforium Charge,40,2,Uncommon,9,Recipes,3,0,,257260000,257260004,Large Seaforium Charge
4418,Deprecated Creeper Cakes,45,1,Common,0,Consumables,0,0,,257260004,257260004,
4419,Scroll of Intellect III,45,1,Common,0,Consumables,0,0,,257260004,257260004,
4421,Scroll of Protection III,40,1,Common,0,Consumables,0,0,,257260004,257260004,
4422,Scroll of Stamina III,45,1,Common,0,Consumables,0,0,,257260004,257260004,
4424,Scroll of Spirit III,40,1,Common,0,Consumables,0,0,,257260004,257260004,
4425,Scroll of Agility III,50,1,Common,0,Consumables,0,0,,257260004,257260004,
4426,Scroll of Strength III,50,1,Common,0,Consumables,0,0,,257260004,257260004,
4430,Ethereal Talisman,43,2,Uncommon,4,Armor,-3,2,Neck,257260000,257260004,
4472,Scroll of Myzrael,50,1,Common,12,Quest,0,0,,257260004,257260004,
4478,Iridescent Scale Leggings,45,2,Uncommon,4,Armor,3,7,Legs,257260000,257260002,Mail
4500,Traveler's Backpack,55,2,Uncommon,1,Containers,0,18,Bag,257260000,257260004,
4501,Deprecated Brown Wayfarer's Knapsack,55,1,Common,1,Containers,0,18,Bag,257260004,257260004,
4507,Pit Fighter's Shield,42,2,Uncommon,4,Armor,6,14,Shield,257260000,257260005,Shield
4508,Blood-tinged Armor,42,2,Uncommon,4,Armor,3,5,Chest,257260000,257260002,Mail
4509,Seawolf Gloves,40,2,Uncommon,4,Armor,2,10,Hands,257260000,257260003,Leather
4511,Black Water Hammer,40,2,Uncommon,2,Weapons,4,21,Main Hand,257260000,257260001,Mace
4543,White Drakeskin Cap,40,2,Uncommon,4,Armor,2,1,Head,257260000,257260002,Leather
4545,Radiant Silver Bracers,40,2,Uncommon,4,Armor,1,9,Wrist,257260000,257260004,Cloth
4547,Gnomish Zapper,40,2,Uncommon,2,Weapons,19,15,Ranged,257260000,257260004,Wand
4548,Servomechanic Sledgehammer,41,2,Uncommon,2,Weapons,5,17,Two-Hand,257260000,257260000,Mace
4549,Seafire Band,46,2,Uncommon,4,Armor,-2,11,Finger,257260000,257260004,
4550,Coldwater Ring,46,2,Uncommon,4,Armor,-2,11,Finger,257260000,257260004,
4599,Cured Ham Steak,45,1,Common,0,Consumables,0,0,,257260004,257260004,
4601,Soft Banana Bread,45,1,Common,0,Consumables,0,0,,257260004,257260004,
